"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL242255";"";"0";"276.42";"0";"3.59";"ACU";"O=C(NC1CCCCC1)NC12CC3CC(CC(C3)C1)C2";"IC50";"'='";"1.6";"nM";"8.80";"";"";"UO_0000065";"31.82";"0.60";"5.21";"21.39";"False";"CHEMBL1936453";"Inhibition of human soluble epoxide hydrolase using CMNPC as substrate after 5 mins by fluorescent assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1932975";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None"
"CHEMBL217758";"";"0";"373.42";"0";"2.81";"TPAU";"O=C(NC1CCN(C(=O)C(F)(F)F)CC1)NC12CC3CC(CC(C3)C1)C2";"IC50";"'='";"1.1";"nM";"8.96";"";"";"UO_0000065";"23.99";"0.47";"6.15";"14.58";"False";"CHEMBL1936453";"Inhibition of human soluble epoxide hydrolase using CMNPC as substrate after 5 mins by fluorescent assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1932975";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None"
"CHEMBL215387";"";"0";"392.58";"1";"5.24";"AUDA";"O=C(O)CCCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2";"IC50";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"21.71";"0.42";"3.28";"10.87";"True";"CHEMBL1936453";"Inhibition of human soluble epoxide hydrolase using CMNPC as substrate after 5 mins by fluorescent assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1932975";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None"
"CHEMBL242655";"";"0";"396.57";"0";"3.49";"AEPU";"CCOCCOCCOCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2";"IC50";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"19.80";"0.38";"4.36";"11.41";"True";"CHEMBL1936453";"Inhibition of human soluble epoxide hydrolase using CMNPC as substrate after 5 mins by fluorescent assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1932975";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None"
"CHEMBL1933492";"";"0";"350.91";"0";"2.11";"14-1";"O=C(NC1CCCCCC1)C1CCN(S(=O)(=O)CCCl)CC1";"IC50";"'='";"340.0";"nM";"6.47";"";"";"UO_0000065";"18.43";"0.40";"4.36";"9.73";"False";"CHEMBL1936453";"Inhibition of human soluble epoxide hydrolase using CMNPC as substrate after 5 mins by fluorescent assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1932975";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None"
"CHEMBL1705444";"";"0";"364.51";"0";"2.93";"14-6";"O=C(NC1CCCCCC1)C1CCN(S(=O)(=O)c2ccccc2)CC1";"IC50";"'='";"510.0";"nM";"6.29";"";"";"UO_0000065";"17.26";"0.34";"3.36";"9.47";"False";"CHEMBL1936453";"Inhibition of human soluble epoxide hydrolase using CMNPC as substrate after 5 mins by fluorescent assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1932975";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None"
"CHEMBL1933512";"";"0";"442.60";"0";"2.33";"14-22";"CS(=O)(=O)c1ccc(S(=O)(=O)N2CCC(C(=O)NC3CCCCCC3)CC2)cc1";"IC50";"'='";"13000.0";"nM";"4.89";"";"";"UO_0000065";"11.04";"0.23";"2.56";"4.86";"False";"CHEMBL1936453";"Inhibition of human soluble epoxide hydrolase using CMNPC as substrate after 5 mins by fluorescent assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1932975";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None"
"CHEMBL1933514";"";"0";"406.59";"0";"4.05";"14-26";"CC(C)c1ccc(S(=O)(=O)N2CCC(C(=O)NC3CCCCCC3)CC2)cc1";"IC50";"'='";"470.0";"nM";"6.33";"";"";"UO_0000065";"15.56";"0.31";"2.28";"9.52";"False";"CHEMBL1936453";"Inhibition of human soluble epoxide hydrolase using CMNPC as substrate after 5 mins by fluorescent assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1932975";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None"
"CHEMBL1933672";"";"0";"328.46";"0";"3.38";"15-4";"O=C(NC1CCCCCC1)C1CCN(C(=O)c2ccccc2)CC1";"IC50";"'='";"630.0";"nM";"6.20";"";"";"UO_0000065";"18.88";"0.35";"2.82";"12.55";"False";"CHEMBL1936453";"Inhibition of human soluble epoxide hydrolase using CMNPC as substrate after 5 mins by fluorescent assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1932975";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None"
"CHEMBL1933675";"";"0";"346.45";"0";"3.52";"15-8";"O=C(NC1CCCCCC1)C1CCN(C(=O)c2cccc(F)c2)CC1";"IC50";"'='";"1200.0";"nM";"5.92";"";"";"UO_0000065";"17.09";"0.32";"2.40";"11.98";"False";"CHEMBL1936453";"Inhibition of human soluble epoxide hydrolase using CMNPC as substrate after 5 mins by fluorescent assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1932975";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None"
"CHEMBL1933677";"";"0";"353.47";"0";"3.25";"15-11";"N#Cc1ccc(C(=O)N2CCC(C(=O)NC3CCCCCC3)CC2)cc1";"IC50";"'='";"2000.0";"nM";"5.70";"";"";"UO_0000065";"16.12";"0.30";"2.45";"7.79";"False";"CHEMBL1936453";"Inhibition of human soluble epoxide hydrolase using CMNPC as substrate after 5 mins by fluorescent assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1932975";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None"
"CHEMBL1890196";"";"0";"407.35";"0";"4.14";"15-12";"O=C(NC1CCCCCC1)C1CCN(C(=O)c2ccc(Br)cc2)CC1";"IC50";"'='";"590.0";"nM";"6.23";"";"";"UO_0000065";"15.29";"0.34";"2.09";"12.61";"False";"CHEMBL1936453";"Inhibition of human soluble epoxide hydrolase using CMNPC as substrate after 5 mins by fluorescent assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1932975";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None"
"CHEMBL3263297";"";"0";"554.86";"2";"7.14";"3b";"CC(NC(=O)NCCCCCCCCNC(=O)NC(C)C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2";"Ki";"'='";"3.1";"nM";"8.51";"";"";"UO_0000065";"15.33";"0.29";"1.37";"10.34";"False";"CHEMBL3270577";"Displacement of ACPU from recombinant human soluble epoxide hydrolase after 1.5 hrs by FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL2409";"Epoxide hydratase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3259769";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2014";"None"
